OTU_ID	Kingdom_RDP	Kingdom_BLAST	Kingdom_SINTAX	Kingdom_Consensus	Phylum_RDP	Phylum_BLAST	Phylum_SINTAX	Phylum_Consensus	Class_RDP	Class_BLAST	Class_SINTAX	Class_Consensus	Order_RDP	Order_BLAST	Order_SINTAX	Order_Consensus	Family_RDP	Family_BLAST	Family_SINTAX	Family_Consensus	Genus_RDP	Genus_BLAST	Genus_SINTAX	Genus_Consensus	Species_RDP	Species_BLAST	Species_SINTAX	Species_Consensus
OTU_52	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes	Sordariomycetes_1	Sordariales_1	Sordariales_1	Sordariales	Sordariales_1	Lasiosphaeriaceae_1	Lasiosphaeriaceae_1	Lasiosphaeriaceae	Lasiosphaeriaceae_1								
OTU_53	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes	Sordariomycetes_1	Hypocreales_1	Hypocreales_1	Hypocreales	Hypocreales_1	Hypocreaceae_1	Hypocreaceae_1	Hypocreaceae	Hypocreaceae_1	Trichoderma_1	Trichoderma_1	Trichoderma	Trichoderma_1	Trichoderma hamatum 			Trichoderma hamatum 
OTU_54	Fungi_1	Fungi_1	Fungi	Fungi_1																								
OTU_55	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes	Sordariomycetes_1	Hypocreales_1	Hypocreales_1	Hypocreales	Hypocreales_1	Hypocreales_fam_incertae_sedis_1	Hypocreales_fam_Incertae_sedis_1			Sarocladium_1	Sarocladium_1		Sarocladium_1	Sarocladium bactrocephalum 			Sarocladium bactrocephalum 
OTU_56	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes	Sordariomycetes_1	Sordariales_1	Sordariales_1	Sordariales	Sordariales_1	Chaetomiaceae_1	Chaetomiaceae_1	Chaetomiaceae	Chaetomiaceae_1	Condenascus_1		Condenascus	Condenascus	Condenascus tortuosus 			Condenascus tortuosus 
OTU_57	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes	Sordariomycetes_1	Hypocreales_1	Hypocreales_1	Hypocreales	Hypocreales_1	Hypocreaceae_1		Hypocreaceae	Hypocreaceae_1	Monocillium_1		Monocillium	Monocillium_1	Monocillium mucidum 			Monocillium mucidum 
OTU_58	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes	Dothideomycetes_1	Venturiales_1	Venturiales_1		Venturiales_1	Sympoventuriaceae_1	Sympoventuriaceae_1		Sympoventuriaceae_1	Veronaeopsis_1	Veronaeopsis_1		Veronaeopsis_1	Veronaeopsis simplex 	Veronaeopsis simplex 		Veronaeopsis simplex 
OTU_59	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes	Dothideomycetes_1	Pleosporales_1	Pleosporales_1	Pleosporales	Pleosporales_1	Phaeosphaeriaceae_1	Phaeosphaeriaceae_1	Phaeosphaeriaceae	Phaeosphaeriaceae_1	Paraphoma_1		Paraphoma	Paraphoma_1	Paraphoma pye 			Paraphoma pye 
OTU_60	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes	Dothideomycetes_1	Pleosporales_1	Pleosporales_1	Pleosporales	Pleosporales_1												
OTU_61	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes	Sordariomycetes_1	Sordariales_1	Sordariales_1	Sordariales	Sordariales_1	Lasiosphaeriaceae_1		Lasiosphaeriaceae	Lasiosphaeriaceae_1	Podospora_1		Podospora	Podospora_1	Podospora sp  			Podospora sp  
OTU_62	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1			Ascomycota_1																				
OTU_63	Fungi_1		Fungi	Fungi			Ascomycota	Ascomycota																				
OTU_64	Fungi_1	Fungi_1	Fungi	Fungi_1	Glomeromycota_1	Glomeromycota_1	Glomeromycota	Glomeromycota_1	Glomeromycetes_1	Glomeromycetes_1	Glomeromycetes	Glomeromycetes_1	Glomerales_1	Glomerales_1	Glomerales	Glomerales_1	Glomeraceae_1	Glomeraceae_1	Glomeraceae	Glomeraceae_1								
OTU_65	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes	Sordariomycetes_1	Hypocreales_1		Hypocreales	Hypocreales	Hypocreales_fam_incertae_sedis_1			Hypocreales_fam_incertae_sedis_1	Acremonium_1			Acremonium_1	Acremonium sp  			Acremonium sp  
OTU_66	Fungi_1	Fungi_1	Fungi	Fungi_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota	Basidiomycota_1	Agaricomycetes_1	Agaricomycetes_1	Agaricomycetes	Agaricomycetes_1	Cantharellales_1	Cantharellales_1	Cantharellales	Cantharellales_1	Ceratobasidiaceae_1	Ceratobasidiaceae_1	Ceratobasidiaceae	Ceratobasidiaceae_1								
OTU_67	Fungi_1	Fungi_1	Fungi	Fungi_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota	Basidiomycota_1	Agaricomycetes_1	Agaricomycetes_1	Agaricomycetes	Agaricomycetes_1	Cantharellales_1	Cantharellales_1	Cantharellales	Cantharellales_1	Ceratobasidiaceae_1	Ceratobasidiaceae_1	Ceratobasidiaceae	Ceratobasidiaceae_1								
OTU_68	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes	Sordariomycetes_1	Sordariales_1	Sordariales_1	Sordariales	Sordariales_1	Sordariales_fam_incertae_sedis_1	Sordariales_fam_Incertae_sedis_1			Conlarium_1	Conlarium_1		Conlarium_1				
OTU_69																												
OTU_70	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes	Sordariomycetes_1	Sordariales_1	Sordariales_1	Sordariales	Sordariales_1	Chaetomiaceae_1	Lasiosphaeriaceae_1	Chaetomiaceae			Podospora_1		Podospora_1				
OTU_71	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota	Ascomycota_1	Leotiomycetes_1	Leotiomycetes_1	Leotiomycetes	Leotiomycetes_1	Helotiales_1	Helotiales_1	Helotiales	Helotiales_1	Hyaloscyphaceae_1	Hyaloscyphaceae_1	Hyaloscyphaceae	Hyaloscyphaceae_1	Lachnum_1		Lachnum	Lachnum				
OTU_72	Fungi_1	Fungi_1	Fungi	Fungi_1	Mortierellomycota_1	Mortierellomycota_1	Mortierellomycota	Mortierellomycota_1	Mortierellomycetes_1	Mortierellomycetes_1	Mortierellomycetes	Mortierellomycetes_1	Mortierellales_1	Mortierellales_1	Mortierellales	Mortierellales_1	Mortierellaceae_1	Mortierellaceae_1	Mortierellaceae	Mortierellaceae_1	Mortierella_1	Mortierella_1	Mortierella	Mortierella_1	Mortierella exigua 			Mortierella exigua 
OTU_73	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes	Sordariomycetes_1	Hypocreales_1	Hypocreales_1	Hypocreales	Hypocreales_1	Nectriaceae_1		Nectriaceae	Nectriaceae_1	Nectria_1		Nectria	Nectria_1	Nectria sp  			Nectria sp  
OTU_74	Fungi_1	Fungi_1	Fungi	Fungi_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota	Basidiomycota_1	Agaricomycetes_1	Agaricomycetes_1	Agaricomycetes	Agaricomycetes_1	Phallales_1	Phallales_1	Phallales	Phallales_1	Phallaceae_1	Phallaceae_1	Phallaceae	Phallaceae_1	Phallus_1	Phallus_1	Phallus	Phallus_1	Phallus rugulosus 	Phallus rugulosus 		Phallus rugulosus 
OTU_75	Fungi_1	Fungi_1	Fungi	Fungi_1		Ascomycota_1		Ascomycota_1		Sordariomycetes_1		Sordariomycetes_1		Myrmecridiales_1		Myrmecridiales_1		Myrmecridiaceae_1		Myrmecridiaceae_1		Myrmecridium_1		Myrmecridium_1				
